name,address,street,number,zip_code,city,country,type,customer_id,Km,lat,lon,country_abr
Aletsch Bahnen AG,,Hauptstrasse,12,3992,Bettmeralp,Switzerland,DP,1,,46.3565836,8.0311159,CH
Ski amadé,,Prehauserplatz,3,5550,Radstadt,Austria,AN,2,,47.3850121,13.4658828,AUT
Arlberger Bergbahnen AG,,Kandaharweg,9,6580,St. Anton am Arlberg,Austria,NO,3,300.0,47.128146900000004,10.262835175098308,AUT
BB Skiwelt Wilder Kaiser,,Dorf,84,6306,Söll,Austria,NO,4,288.0,47.50313465,12.190854565822235,AUT
Bergbahnen Saalbach-Hinterglemm,,Zwölferkogelweg,208,5754,Saalbach,Austria,NO,5,270.0,47.375457,12.5894093,AUT
Bergbahnen Ischgl,,Silvrettaplatz,2,6561,Ischgl,Austria,NO,6,239.0,47.0103948,10.2877601,AUT
Bergbahnen Serfauss,,Dorfbahnstraße,2,6534,Serfaus,Austria,LE,7,198.0,47.0383721,10.6132823,AUT
Bergbahnen Zillertal Arena,,Rohr,23,6280,Rohrberg,Austria,NO,8,146.0,47.2377385,11.9008797,AUT
Bergbahnen Mayrhofen,,Ahornstraße,853,6290,Mayrhofen,Austria,NO,9,142.0,47.1600998,11.8605211,AUT
Bergbahnen Stubaier Gletscher,,Mutterberg,1,6167,Neustift im Stubaital,Austria,NO,10,110.0,48.4468933,14.988275,AUT
Bergbahnen Nassfeld Pramollo,,Schlosserweg 70,8,9620,Sonnenalpe,Austria,NO,11,110.0,48.1028265,14.1163034,AUT
BB Bad Kleinkirchheim,,Schneerosenweg,1,9546,Bad Kleinkirchheim,Austria,AN,12,103.0,46.8138002,13.798059,AUT
Bergbahnen Gurgl,,Gurglerstraße,93,6456,Obergurgl,Austria,DP,13,108.0,46.87579325,11.033283675000002,AUT
Bergbahnen Obertauern,,Römerstraße,8,5562,Obertauern,Austria,NO,14,100.0,47.2510868,13.5426783,AUT
BB Ski Juwel Aplbachtal,,Alpbach,311,6236,Alpbach,Austria,NO,15,91.0,47.3962061,11.924341356131078,AUT
Oetztal,,Dorfstraße,115,6450,Sölden,Austria,DP,18,,46.9549154,11.0122369,AUT
Zermatt Bergbahnen AG,,Schluhmattstrasse,28,3920,Zermatt,Switzerland,DP,21,322.0,46.0149155,7.7425885,CH
Weisse Arena BB AG,,Via Murschetg,17,7032,Laax,Switzerland,PN,24,188.0,46.818851699999996,9.264101050000004,CH
Engadin St. Moritz AG,,Via San Gian,30,7500,St. Moritz,Switzerland,PN,25,155.0,46.4815386,9.8307419,CH
Lenk Bergbahnen [Adelboden-Lenk],,Bodenstrasse,2,3715,Adelboden,Switzerland,LE,32,86.0,46.48773205,7.560276133115672,CH
