name,address,country,type,customer_id,Km,lat,lon,country_abr
Dolomiti Superski (Verbund),"Arnaria Str., 43
I-39040 Kastelruth (BZ)",Italy,,1,1200km,,,
Ski Amadé (Verbund),"Ski amadé GmbH
Prehauserplatz 3
5550 Radstadt",Austria,,2,760km,,,
Les 3 Vallées,"378 avenue des Belleville
BP 62
73602 Moutiers Cedex
Frankreich",France,,3,600km,,,
Les Portes du Soleil,"1401, rte de Vonnes 
74390 Châtel 
Frankreich",Switzerland,,4,580km,,,
4 Vallées,"Route de Thyon 12 
Batterie Thyon 2000 Nr° 4044 
1988 Thyon 
Schweiz",Switzerland,,5,412km,,,
Via Lattea,"Piazza Angeli, 4 
10058 Sestrière 
Italien",Italy /France,,6,400km,,,
Zermatt Bergbahnen AG,"3920 Zermatt
Schweiz",Switzerland / Italy,,7,322km,,,
Les Sybelles,"Le Corbier / St Jean d'Arves / St Colomban des Villards
Immeuble Ariane
73300 Le Corbier
Frankreich",France,,8,310km,,,
Aarlberger Bergbahnen,"Kandaharweg 9 
6580 St. Anton am Arlberg 
Österreich",Austria,,9,303km,,,
Tignes -Val d'Isère,"BP 51 
73321 Tignes 
Frankreich",France,,10,300km,,,
SkiWelt Wilder Kaiser-Brixental,"Dorf 84 
6306 Söll 
Österreich",Austria,,11,288km,,,
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),"Eberhartweg 308 
5753 Saalbach 
Österreich",Austria,,12,270km,,,
Davos Kloster BB AG,,Switzerland,,13,269km,,,
Le Grand Massif,"Télécabine de Vercland 
74340 Samoëns 
Frankreich",France,,14,265km,,,
Megève  Saint-Gervais,"220 route du Téléphérique de Rochebrune 
74120 Megève 
Frankreich",France,,15,263km,,,
Serre-Chevallier [Compagnie des Alpes],"Le Serre d’Aigle 
05330 Saint Chaffrey 
Frankreich",France,,16,250km,,,
L'Alpe d'Huez,"Société d'Aménagement Touristique de l'Alpe d'Huez et des Grandes Rousses 
Rue du Pic Blanc 
BP 54 
38750 Alpe d'Huez 
Frankreich",France,,17,250km,,,
Ischgl- Samnaun – Silvretta Arena,"Silvrettaplatz 2 
6561 Ischgl 
Österreich",Austria / Switzerland,,18,239km,,,
Arosa Lenzerheide,"Seeblickstrasse 29 
7050 Arosa 
Schweiz",Switzerland,,19,225km,,,
La Plagne (Paradiski),"Plagne Centre 
73210 La Plagne 
Frankreich",France,,20,225km,,,
Les 2 Alpes,"Le Meijotel 
38860 Les Deux Alpes 
Frankreich",France,,21,200km,,,
Les Arcs - Peisey-Vallandry (Paradiski),"Chalet des Villards 
CS 30302 Arc 1800 
73700 Bourg Saint Maurice 
Frankreich",France,,22,200km,,,
Serfaus-Fiss-Ladis,"Seilbahnstraße 44 
6533 Fiss 
Österreich",Austria,,23,198km,,,
Espace Diamant,"135 avenue des Jeux Olympiques 
73620 Les Saisies 
Frankreich",France,,24,192km,,,
Laax - Flims - Falera,"Via Murschetg 17 
7032 Laax 
Schweiz",Austria,,25,188km,,,
Vars Risoul – La Forêt Blanche,"Cours Fontanarosa 
05560 Vars 
Frankreich",France,,26,185km,,,
Kitzbühel - Kirchberg – KitzSki,"Hahnenkammstr. 1a 
6370 Kitzbühel 
Österreich",Austria,,27,181km,,,
Espace Lumière – Pra Loup  Val d’Allos,"04400 Pra Loup 
Frankreich",France,,28,180km,,,
Gröden (Val Gardena),"Chemunstraße 7 
39047 St. Christina/Gröden 
Italien",Italy,,29,178km,,,
Le Grand Domaine,"La Tour 
73260 Valmorel 
Frankreich",France,,30,165km,,,
Galibier Thabor – Valmeinier Valloire,"Maison de Valmeinier 
73140 Valmeinier 
Frankreich",France,,31,160km,,,
Engadin St. Moritz Mountains AG,"Via San Gian 30 
7500 St. Moritz 
Schweiz",Switzerland,,32,155km,,,
Espace San Bernardo – La Rosière La Thuile,"Maison du Ski 
73700 La Rosière 
Frankreich",France / Italy,,33,152km,,,
Madonna di Campiglio,"Via Presanella, 12 
38086 Madonna di Campiglio 
Italien",Italy,,34,150km,,,
Zillertal Arena,"Zeller Bergbahnen Zillertal GmbH & Co KG 
Rohr 23 
6280 Zell am Ziller 
Österreich",Austria,,35,146km,,,
Sölden,"Dorfstraße 115 
6450 Sölden 
Österreich",Switzerland,,36,143km,,,
Mayrhofen,"Ahornstraße 853 
6290 Mayrhofen 
Österreich",Switzerland,,37,142km,,,
Crans-Montana,"Remontées Mécaniques de Crans-Montana Aminona SA 
Rte des Barzettes 
Case postale 352 
3963 Crans-Montana 
Schweiz",Switzerland,,38,140km,,,
Auron,"10 rue des communes de France 
06660 Saint-Etienne-de-Tinée 
Frankreich",France,,39,135km,,,
Alagna Valsesia,"Comprensorio Sciistico Monterosa Ski 
Route Ramey 69 
11020 Champoluc 
Italien",italy,,40,132km,,,
Alta Badia,"Str. Col Alt, 36 
39033 Corvara 
Italien",italy,,41,130km,,,
Val Cenis,"Télécabine du Vieux Moulin 
73480 Lanslevillard 
Frankreich",France,,42,125km,,,
Espace Villard Corrençon,"Société d'équipement de Villard de Lans - Corrençon en Vercours 
Côte 2000 
38250 Villard de Lans 
Frankreich",France,,43,125km,,,
La Clusaz  Manigod,"26 route de l'Étale 
74220 La Clusaz 
Frankreich",France,,44,125km,,,
Planai-Hochwurzen Bahnen [Ski Amade],"Coburgstrasse 52 
8970 Schladming 
Österreich",Austria,,45,123km,,,
Hochkönig –,"Schlöglberg 63 
5505 Mühlbach 
Österreich",Austria,,46,120km,,,
Snow Space Salzburg,"Markt 59 
5602 Wagrain 
Österreich",Austria,,47,120km,,,
Corvatsch/ Furtschellas,"Via dal Corvatsch 73 
7513 Silvaplana 
Schweiz",Switzerland,,48,120km,,,
Cortina d'Ampezzo,"Via Marconi, 15 
32043 Cortina d'Ampezzo 
Italien",Italy,,49,120km,,,
